"DEALER_CODE","PARENT_DEALER_CODE","P3_FIRM_NAME_FINAL","BROKER_DEALER","OPPORTUNITY_TYPE","OPPORTUNITY_NAME","INSIGHT_ORDER","INSIGHTS","AS_OF_DATE"
"0015","0015","MORGAN STANLEY","Morgan Stanley","Asset Class Capability","Templeton Global Macro Mutual Funds",1,"We are seeing both high levels of fund-specific greenspace and fund sales momentum in Templeton Global Bond, both the Global Bond Fund and the Templeton International Bond Fund are included in the GIMA Focus List.",20200331
"0015","0015","MORGAN STANLEY","Morgan Stanley","Asset Class Capability","Templeton Global Macro Mutual Funds",2,"As a result, all three funds are available for sale within the Select UMA platform, as well as within the PM and CGA platforms which are both open architecture.",20200331
"0015","0015","MORGAN STANLEY","Morgan Stanley","Asset Class Capability","Templeton Global Macro Mutual Funds",3,"Based on the On the Markets dated March 2020 the firm has a relative market weight within fixed income to U.S.  bonds, ""We have recommended shorter-duration* (maturities) since March 2018 given the extremely low yields and potential capital losses associated with rising interest rates from such low levels, but added to long-dated Treasuries in mid-2019 as a hedge against recession risks. We are also increasingly concerned that credit spreads do not reflect the earnings recession in the US or the significant leverage on corporate balance sheets. While interest coverage remains benign, overall ratios of debt/equity are stretched. Therefore, we are market weight US investment grade"".",20200331
"0015","0015","MORGAN STANLEY","Morgan Stanley","Asset Class Capability","Templeton Global Macro Mutual Funds",4,"While MS is still tactically underweight in most of the Global Fixed Income space, a potential soft landing in China and increased fiscal stimulus by the PBOC could help EM economies across the board.  MSWM recommends maintaining short-duration in the U.S., which is consistent with TGB positioning – the Fund has a negative duration exposure.",20200331
"0015","0015","MORGAN STANLEY","Morgan Stanley","Models","MSWM MAPS",1,"We are seeing sales momentum at Morgan Stanley for the Managed Advisory Portfolio Solutions (MAPS).",20200331
"0015","0015","MORGAN STANLEY","Morgan Stanley","Models","MSWM MAPS",2,"Franklin Templeton offers 6 total SMA models comprised of two sleeves one for Income and one for Growth & Income.",20200331
"0015","0015","MORGAN STANLEY","Morgan Stanley","Models","MSWM MAPS",3,"Sales professionals may choose to highlight that MAPS offers an easy transition for advisors moving away from brokerage. The allocations are 100% FT Mutual Funds and ETF’s with a minimum account size of $25k.",20200331
"0015","0015","MORGAN STANLEY","Morgan Stanley","Mutual Fund","Franklin International Growth",1,"We are seeing both high levels of fund-specific greenspace in the Franklin International Growth fund.  The fund is included on the Approved List and the Focus List.  The fund is available for sale within the Select UMA platform, the PM and CGA platforms (each are open architecture) and MAPS (FT Branded).",20200331
"0015","0015","MORGAN STANLEY","Morgan Stanley","Mutual Fund","Franklin International Growth",2,"Based on the On the Markets dated March 2020, the firm has a relative overweight to international developed and emerging market stocks.  ""We maintain a positive bias for Japanese and European equity markets. The populist movements around the world are likely to drive more fiscal policy action in both regions, especially in Europe, which would allow the central banks to exit their monetary policies and help valuations to rise. Christine Lagarde's leadership at European Central Bank and resolution of Brexit uncertainty are catalysts"".",20200331
"0015","0015","MORGAN STANLEY","Morgan Stanley","Mutual Fund","Franklin International Growth",3,"Additionally they state that ""The combination of trade tension resolution, global growth rebound, ample liquidity from the Fed and a weakening dollar should catalyze investor interest. China stands to gain the most from US tariff rollbacks and global trade dynamics should improve. Valuations are attractive and local central banks should be able to maintain accommodation and stimulus"".",20200331
"0050","0015","MORGAN STANLEY","Morgan Stanley","Asset Class Capability","Templeton Global Macro Mutual Funds",1,"We are seeing both high levels of fund-specific greenspace and fund sales momentum in Templeton Global Bond, both the Global Bond Fund and the Templeton International Bond Fund are included in the GIMA Focus List.",20200331
"0050","0015","MORGAN STANLEY","Morgan Stanley","Asset Class Capability","Templeton Global Macro Mutual Funds",2,"As a result, all three funds are available for sale within the Select UMA platform, as well as within the PM and CGA platforms which are both open architecture.",20200331
"0050","0015","MORGAN STANLEY","Morgan Stanley","Asset Class Capability","Templeton Global Macro Mutual Funds",3,"Based on the On the Markets dated March 2020 the firm has a relative market weight within fixed income to U.S.  bonds, ""We have recommended shorter-duration* (maturities) since March 2018 given the extremely low yields and potential capital losses associated with rising interest rates from such low levels, but added to long-dated Treasuries in mid-2019 as a hedge against recession risks. We are also increasingly concerned that credit spreads do not reflect the earnings recession in the US or the significant leverage on corporate balance sheets. While interest coverage remains benign, overall ratios of debt/equity are stretched. Therefore, we are market weight US investment grade"".",20200331
