FIRM_NAME,MODEL_NAME,MODEL_CATEGORY_RANK,SUB_MODEL_NAME,ALLOCATION_CATEGORY,STRATEGY_NAME,PRODUCT_TYPE,TICKER,ALLOCATION_PCT,MODEL_LAUNCH_DATE,AS_OF_DATE,UPDATE_FREQUENCY,FTMAS_FIRM_MANAGED,LOAD_DATE_TIME,PARENT_DEALER_CODE,PLATFORM_TYPE,PLATFORM_DEF
BBVA COMPASS,Franklin Templeton Income Model Portfolio,1,Income,Fixed Income Funds,FTIF Franklin Strategic Income Fund (W MDis),SA,FTSIWMU,0.03, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
BBVA COMPASS,Franklin Templeton Income Model Portfolio,1,Income,Equity Funds,Schroder ISF Global Dividend Maximiser Fund (Q Dis),SA,SGENYDC,0.11, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
BBVA COMPASS,Franklin Templeton Income Model Portfolio,1,Income,Equity Funds,Amundi Funds II - Pioneer U.S. Fundamental Growth,SA,PFURUIA,0.08, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
BBVA COMPASS,Franklin Templeton Income Model Portfolio,1,Income,Fixed Income Funds,Robeco High Yield Bonds (I BXH),SA,RGHYIBX,0.04, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
BBVA COMPASS,Franklin Templeton Income Model Portfolio,1,Income,Fixed Income Funds,Templeton Global Total Return Fund (W MDis) USD,SA,TGTWMDU,0.04, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Hybrid,1,Income Hybrid,EQUITY,iShares S&P U.S. Preferred Stock Index ETF,ETF,PFF,0.12, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Hybrid,1,Income Hybrid,Cash,Cash,Cash,,0.02, ,2.02E+16,Monthly,FTMAS,2.02E+16, , ,
BBVA COMPASS,Franklin Templeton Income Model Portfolio,1,Income,Multi-Asset Funds,FTIF Franklin Income Fund (W MDis) USD,SA,TFIWMDU,0.16, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Index,3,Conservative Index Model,European Equity,Franklin FTSE Europe ETF,ETF,FLEE,0.03, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Index,1,Income Index Model,US Fixed Income,iShares Short-Term Corporate Bond ETF,ETF,IGSB,0.14, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Index,3,Conservative Index Model,US Fixed Income,IShares US Treasury Bond ETF,ETF,GOVT,0.22, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Index,3,Conservative Index Model,Global Fixed Income,iShares JPMorgan USD Emerg Markets Bond,ETF,EMB,0.04, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Hybrid,4,Moderate Hybrid,FIXED INCOME,iShares Core U.S. Aggregate Bond ETF,ETF,AGG,0.07, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Hybrid,4,Moderate Hybrid,FIXED INCOME,Franklin Liberty U.S. Core Bond ETF,ETF,FLCB,0.14, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Hybrid,4,Moderate Hybrid,EQUITY,Hennessy Japan Fund Investor Fund Advisor,Mutual Fund,HJPNX,0.02, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Index,4,Moderate Index Model,European Equity,Franklin FTSE Europe ETF,ETF,FLEE,0.07, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Index,4,Moderate Index Model,US Fixed Income,IShares US Treasury Bond ETF,ETF,GOVT,0.09, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Index,4,Moderate Index Model, ,Cash,Cash,,0.01, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Index,1,Income Index Model,Global Fixed Income,iShares JPMorgan USD Emerg Markets Bond,ETF,EMB,0.05, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Hybrid,2,Rising Rates Hybrid,EQUITY,Pioneer Fundamental Growth Fund Y,Mutual Fund,FUNYX,0.1, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Hybrid,2,Rising Rates Hybrid,FIXED INCOME,Templeton Global Total Return Fund Advisor,Mutual Fund,TTRZX,0.06, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Hybrid,2,Rising Rates Hybrid,FIXED INCOME,iShares TIPS Bond ETF,ETF,TIP,0.03, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Index,2,Rising Rates Index Model,US Equity,iShares S&P 500 Growth,ETF,IVW,0.08, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Hybrid,3,Conservative Hybrid,FIXED INCOME,Prudential Core Bond Fund R6,Mutual Fund,TPCQX,0.14, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Hybrid,3,Conservative Hybrid,FIXED INCOME,IShares US Treasury Bond ETF,ETF,GOVT,0.05, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Hybrid,3,Conservative Hybrid,EQUITY,iShares Core S&P 500 Value ETF,ETF,IVE,0, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Hybrid,3,Conservative Hybrid,EQUITY,Franklin FTSE Japan ETF,ETF,FLJP,0.01, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Index,3,Conservative Index Model,US Equity,iShares S&P 500 Growth,ETF,IVW,0.06, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Index,3,Conservative Index Model,Japanese Equity,Franklin FTSE Japan ETF,ETF,FLJP,0.02, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Index,3,Conservative Index Model,US Fixed Income,iShares Intermediate-Term Corporate Bond ETF,ETF,IGIB,0.07, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Hybrid,4,Moderate Hybrid,EQUITY,Vanguard S&P 500 ETF,ETF,VOO,0.2, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Hybrid,4,Moderate Hybrid,EQUITY,Columbia European Equity Z,Mutual Fund,CADJX,0.07, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Hybrid,4,Moderate Hybrid,FIXED INCOME,IShares US Treasury Bond ETF,ETF,GOVT,0.03, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
CITIBANK,Franklin NextStep Model Portfolios-Hybrid,4,Moderate Hybrid,FIXED INCOME,Delaware Corporate Bond Fund I,Mutual Fund,DGCIX,0.01, ,2.02E+16,Monthly,FTMAS,2.02E+16, , , 
