"FIRM","PLATFORM_NAME","STRATEGY","SHARE_CLASS","TICKER","INVESTMENT_TYPE","ADDED_DATE","PLATFORM_TYPE","PLATFORM_DEF","IPD_NAME","NAM_NAME","CLEARING_FIRM"
"ADVISOR GROUP","Advisor Managed Portfolios","All Franklin Templeton ETFs"," ","","ETF",0,"Rep as PM","Rep as PM- Advisor Discretionary Portfolios, can leverage guidance models or create their own. Mutual Funds, SMAs, ETFs, Stocks Bonds, Variable Annuities, 50k account minimum","Brooke Leahy","John Beaulieu","Pershing"
"ADVISOR GROUP","Advisor Managed Portfolios","All Franklin Templeton Mutual Funds (Adv Share Class)"," ","","Mutual Fund",0,"Rep as PM","Rep as PM- Advisor Discretionary Portfolios, can leverage guidance models or create their own. Mutual Funds, SMAs, ETFs, Stocks Bonds, Variable Annuities, 50k account minimum","Brooke Leahy","John Beaulieu","Pershing"
"ADVISOR GROUP","Brokerage","All Franklin Templeton ETFs"," ","","ETF",0,"Brokerage","Open Archtecture commision based Brokerage Platform- Mutual Funds, ETFs, Individual Securities, clearing through Pershing (have legacy business at National Financial)","Brooke Leahy","John Beaulieu","Pershing"
"ADVISOR GROUP","Brokerage","All Franklin Templeton Mutual Funds (A and C Share Class)"," ","","Mutual Fund",0,"Brokerage","Open Archtecture commision based Brokerage Platform- Mutual Funds, ETFs, Individual Securities, clearing through Pershing (have legacy business at National Financial)","Brooke Leahy","John Beaulieu","Pershing"
"ADVISOR GROUP","Direct Choice","All Franklin Templeton Mutual Funds (A and C Share Class)"," ","","Mutual Fund",0,"Brokerage","Mutual Fund Only Brokerage","Brooke Leahy","John Beaulieu","National Financial"
"ADVISOR GROUP","Direct Choice","All Franklin Templeton Mutual Funds (A and C Share Class)"," ","","Mutual Fund",0,"Brokerage","Mutual Fund Only Brokerage","Brooke Leahy","John Beaulieu","Pershing"
"ADVISOR GROUP","Mutual Fund Reference List","Franklin Federal Intermediate-Term Tax-Free Income Fund","A","FKQTX","Mutual Fund",0,"Recommended List","Recommended Mutual Funds for all platforms","Brooke Leahy","John Beaulieu"," "
"ADVISOR GROUP","Mutual Fund Reference List","Franklin High Income Fund","A","FHQRX","Mutual Fund",0,"Recommended List","Recommended Mutual Funds for all platforms","Brooke Leahy","John Beaulieu"," "
"ADVISOR GROUP","Mutual Fund Reference List","Franklin Small Cap Growth Fund","A","FSGRX","Mutual Fund",0,"Recommended List","Recommended Mutual Funds for all platforms","Brooke Leahy","John Beaulieu"," "
"ADVISOR GROUP","Mutual Fund Reference List","Templeton Global Bond Fund","A","TPINX","Mutual Fund",0,"Recommended List","Recommended Mutual Funds for all platforms","Brooke Leahy","John Beaulieu"," "
"ADVISOR GROUP","Research Guidance Models","Templeton Global Bond Fund","Advisor","TGBAX","Mutual Fund",0,"Home Office Discretionary","Recommended Model Allocations by Home Office Research","Brooke Leahy","John Beaulieu"," "
"ADVISOR GROUP","SMA Platform","Franklin Intermediate Fixed Income SMA"," ","SMA","SMA",0,"SMA","SMA platform but also consists of Mutual Funds and ETFs. FT SMAs available thorugh Envestnet are available here","Brooke Leahy","John Beaulieu"," "
"ADVISOR GROUP","SMA Platform","Franklin Intermediate Municipal SMA"," ","SMA","SMA",0,"SMA","SMA platform but also consists of Mutual Funds and ETFs. FT SMAs available thorugh Envestnet are available here","Brooke Leahy","John Beaulieu"," "
"ADVISOR GROUP","SMA Platform","Franklin Rising Dividends SMA"," ","SMA","SMA",0,"SMA","SMA platform but also consists of Mutual Funds and ETFs. FT SMAs available thorugh Envestnet are available here","Brooke Leahy","John Beaulieu"," "
"ADVISOR GROUP","SMA Platform","Templeton Foreign Equity SMA"," ","SMA","SMA",0,"SMA","SMA platform but also consists of Mutual Funds and ETFs. FT SMAs available thorugh Envestnet are available here","Brooke Leahy","John Beaulieu"," "
"ADVISOR GROUP","SMA Platform","Templeton International Equity SMA"," ","SMA","SMA",0,"SMA","SMA platform but also consists of Mutual Funds and ETFs. FT SMAs available thorugh Envestnet are available here","Brooke Leahy","John Beaulieu"," "
